Iter 1, Best Cost: 1021914, Hard Conflicts: 101, Soft Conflicts: 12015, Time: 0.16s
Iter 2, Best Cost: 852009, Hard Conflicts: 84, Soft Conflicts: 12093, Time: 0.31s
Iter 3, Best Cost: 810346, Hard Conflicts: 80, Soft Conflicts: 10426, Time: 0.43s
Iter 4, Best Cost: 579890, Hard Conflicts: 57, Soft Conflicts: 9947, Time: 0.57s
Iter 5, Best Cost: 514399, Hard Conflicts: 50, Soft Conflicts: 14449, Time: 0.70s
Iter 6, Best Cost: 459733, Hard Conflicts: 45, Soft Conflicts: 9778, Time: 0.82s
Iter 7, Best Cost: 399659, Hard Conflicts: 39, Soft Conflicts: 9698, Time: 0.96s
Iter 8, Best Cost: 399517, Hard Conflicts: 39, Soft Conflicts: 9556, Time: 1.09s
Iter 9, Best Cost: 290406, Hard Conflicts: 28, Soft Conflicts: 10434, Time: 1.22s
Iter 10, Best Cost: 289523, Hard Conflicts: 28, Soft Conflicts: 9551, Time: 1.34s
Iter 11, Best Cost: 229757, Hard Conflicts: 22, Soft Conflicts: 9779, Time: 1.47s
Iter 12, Best Cost: 229251, Hard Conflicts: 22, Soft Conflicts: 9273, Time: 1.60s
Iter 13, Best Cost: 229251, Hard Conflicts: 22, Soft Conflicts: 9273, Time: 1.73s
Iter 14, Best Cost: 229126, Hard Conflicts: 22, Soft Conflicts: 9148, Time: 1.85s
Iter 15, Best Cost: 229021, Hard Conflicts: 22, Soft Conflicts: 9043, Time: 1.97s
Iter 16, Best Cost: 228871, Hard Conflicts: 22, Soft Conflicts: 8893, Time: 2.10s
Iter 17, Best Cost: 228259, Hard Conflicts: 22, Soft Conflicts: 8281, Time: 2.21s
Iter 18, Best Cost: 228019, Hard Conflicts: 22, Soft Conflicts: 8041, Time: 2.34s
Iter 19, Best Cost: 118742, Hard Conflicts: 11, Soft Conflicts: 8753, Time: 2.45s
Iter 20, Best Cost: 118090, Hard Conflicts: 11, Soft Conflicts: 8101, Time: 2.58s
Iter 21, Best Cost: 117940, Hard Conflicts: 11, Soft Conflicts: 7951, Time: 2.70s
Iter 22, Best Cost: 117850, Hard Conflicts: 11, Soft Conflicts: 7861, Time: 2.83s
Iter 23, Best Cost: 117850, Hard Conflicts: 11, Soft Conflicts: 7861, Time: 2.94s
Iter 24, Best Cost: 7999, Hard Conflicts: 0, Soft Conflicts: 7999, Time: 3.07s
Iter 25, Best Cost: 7999, Hard Conflicts: 0, Soft Conflicts: 7999, Time: 3.19s
Iter 26, Best Cost: 7899, Hard Conflicts: 0, Soft Conflicts: 7899, Time: 3.32s
Iter 27, Best Cost: 7839, Hard Conflicts: 0, Soft Conflicts: 7839, Time: 3.43s
Iter 28, Best Cost: 7791, Hard Conflicts: 0, Soft Conflicts: 7791, Time: 3.55s
Iter 29, Best Cost: 7746, Hard Conflicts: 0, Soft Conflicts: 7746, Time: 3.68s
Iter 30, Best Cost: 7746, Hard Conflicts: 0, Soft Conflicts: 7746, Time: 3.80s
Iter 31, Best Cost: 7559, Hard Conflicts: 0, Soft Conflicts: 7559, Time: 3.91s
Iter 32, Best Cost: 7401, Hard Conflicts: 0, Soft Conflicts: 7401, Time: 4.03s
Iter 33, Best Cost: 7287, Hard Conflicts: 0, Soft Conflicts: 7287, Time: 4.16s
Iter 34, Best Cost: 7192, Hard Conflicts: 0, Soft Conflicts: 7192, Time: 4.27s
Iter 35, Best Cost: 7056, Hard Conflicts: 0, Soft Conflicts: 7056, Time: 4.38s
Iter 36, Best Cost: 6930, Hard Conflicts: 0, Soft Conflicts: 6930, Time: 4.50s
Iter 37, Best Cost: 6537, Hard Conflicts: 0, Soft Conflicts: 6537, Time: 4.62s
Iter 38, Best Cost: 6201, Hard Conflicts: 0, Soft Conflicts: 6201, Time: 4.75s
Iter 39, Best Cost: 5915, Hard Conflicts: 0, Soft Conflicts: 5915, Time: 4.85s
Iter 40, Best Cost: 5789, Hard Conflicts: 0, Soft Conflicts: 5789, Time: 4.97s
Iter 41, Best Cost: 5623, Hard Conflicts: 0, Soft Conflicts: 5623, Time: 5.10s
Iter 42, Best Cost: 5557, Hard Conflicts: 0, Soft Conflicts: 5557, Time: 5.20s
Iter 43, Best Cost: 5443, Hard Conflicts: 0, Soft Conflicts: 5443, Time: 5.33s
Iter 44, Best Cost: 5374, Hard Conflicts: 0, Soft Conflicts: 5374, Time: 5.45s
Iter 45, Best Cost: 5194, Hard Conflicts: 0, Soft Conflicts: 5194, Time: 5.55s
Iter 46, Best Cost: 5194, Hard Conflicts: 0, Soft Conflicts: 5194, Time: 5.68s
Iter 47, Best Cost: 5144, Hard Conflicts: 0, Soft Conflicts: 5144, Time: 5.80s
Iter 48, Best Cost: 5144, Hard Conflicts: 0, Soft Conflicts: 5144, Time: 5.90s
Iter 49, Best Cost: 5144, Hard Conflicts: 0, Soft Conflicts: 5144, Time: 6.02s
Iter 50, Best Cost: 5135, Hard Conflicts: 0, Soft Conflicts: 5135, Time: 6.15s
Iter 51, Best Cost: 5134, Hard Conflicts: 0, Soft Conflicts: 5134, Time: 6.25s
Iter 52, Best Cost: 4955, Hard Conflicts: 0, Soft Conflicts: 4955, Time: 6.37s
Iter 53, Best Cost: 4945, Hard Conflicts: 0, Soft Conflicts: 4945, Time: 6.49s
Iter 54, Best Cost: 4845, Hard Conflicts: 0, Soft Conflicts: 4845, Time: 6.62s
Iter 55, Best Cost: 4820, Hard Conflicts: 0, Soft Conflicts: 4820, Time: 6.72s
Iter 56, Best Cost: 4718, Hard Conflicts: 0, Soft Conflicts: 4718, Time: 6.84s
Iter 57, Best Cost: 4718, Hard Conflicts: 0, Soft Conflicts: 4718, Time: 6.95s
Iter 58, Best Cost: 4641, Hard Conflicts: 0, Soft Conflicts: 4641, Time: 7.07s
Iter 59, Best Cost: 4622, Hard Conflicts: 0, Soft Conflicts: 4622, Time: 7.19s
Iter 60, Best Cost: 4567, Hard Conflicts: 0, Soft Conflicts: 4567, Time: 7.31s
Iter 61, Best Cost: 4556, Hard Conflicts: 0, Soft Conflicts: 4556, Time: 7.42s
Iter 62, Best Cost: 4501, Hard Conflicts: 0, Soft Conflicts: 4501, Time: 7.54s
Iter 63, Best Cost: 4501, Hard Conflicts: 0, Soft Conflicts: 4501, Time: 7.66s
Iter 64, Best Cost: 4449, Hard Conflicts: 0, Soft Conflicts: 4449, Time: 7.78s
Iter 65, Best Cost: 4413, Hard Conflicts: 0, Soft Conflicts: 4413, Time: 7.89s
Iter 66, Best Cost: 4413, Hard Conflicts: 0, Soft Conflicts: 4413, Time: 8.01s
Iter 67, Best Cost: 4311, Hard Conflicts: 0, Soft Conflicts: 4311, Time: 8.13s
Iter 68, Best Cost: 4311, Hard Conflicts: 0, Soft Conflicts: 4311, Time: 8.23s
Iter 69, Best Cost: 4311, Hard Conflicts: 0, Soft Conflicts: 4311, Time: 8.35s
Iter 70, Best Cost: 4263, Hard Conflicts: 0, Soft Conflicts: 4263, Time: 8.46s
Iter 71, Best Cost: 4185, Hard Conflicts: 0, Soft Conflicts: 4185, Time: 8.58s
Iter 72, Best Cost: 4185, Hard Conflicts: 0, Soft Conflicts: 4185, Time: 8.68s
Iter 73, Best Cost: 4137, Hard Conflicts: 0, Soft Conflicts: 4137, Time: 8.80s
Iter 74, Best Cost: 4137, Hard Conflicts: 0, Soft Conflicts: 4137, Time: 8.92s
Iter 75, Best Cost: 4095, Hard Conflicts: 0, Soft Conflicts: 4095, Time: 9.03s
Iter 76, Best Cost: 4095, Hard Conflicts: 0, Soft Conflicts: 4095, Time: 9.15s
Iter 77, Best Cost: 4083, Hard Conflicts: 0, Soft Conflicts: 4083, Time: 9.27s
Iter 78, Best Cost: 4083, Hard Conflicts: 0, Soft Conflicts: 4083, Time: 9.39s
Iter 79, Best Cost: 4023, Hard Conflicts: 0, Soft Conflicts: 4023, Time: 9.49s
Iter 80, Best Cost: 4023, Hard Conflicts: 0, Soft Conflicts: 4023, Time: 9.61s
Iter 81, Best Cost: 3987, Hard Conflicts: 0, Soft Conflicts: 3987, Time: 9.73s
Iter 82, Best Cost: 3987, Hard Conflicts: 0, Soft Conflicts: 3987, Time: 9.84s
Iter 83, Best Cost: 3987, Hard Conflicts: 0, Soft Conflicts: 3987, Time: 9.95s
Iter 84, Best Cost: 3933, Hard Conflicts: 0, Soft Conflicts: 3933, Time: 10.08s
Iter 85, Best Cost: 3933, Hard Conflicts: 0, Soft Conflicts: 3933, Time: 10.20s
Iter 86, Best Cost: 3933, Hard Conflicts: 0, Soft Conflicts: 3933, Time: 10.31s
Iter 87, Best Cost: 3933, Hard Conflicts: 0, Soft Conflicts: 3933, Time: 10.42s
Iter 88, Best Cost: 3933, Hard Conflicts: 0, Soft Conflicts: 3933, Time: 10.54s
Iter 89, Best Cost: 3878, Hard Conflicts: 0, Soft Conflicts: 3878, Time: 10.67s
Iter 90, Best Cost: 3878, Hard Conflicts: 0, Soft Conflicts: 3878, Time: 10.78s
Iter 91, Best Cost: 3848, Hard Conflicts: 0, Soft Conflicts: 3848, Time: 10.89s
Iter 92, Best Cost: 3848, Hard Conflicts: 0, Soft Conflicts: 3848, Time: 11.01s
Iter 93, Best Cost: 3848, Hard Conflicts: 0, Soft Conflicts: 3848, Time: 11.13s
Iter 94, Best Cost: 3848, Hard Conflicts: 0, Soft Conflicts: 3848, Time: 11.23s
Iter 95, Best Cost: 3836, Hard Conflicts: 0, Soft Conflicts: 3836, Time: 11.35s
Iter 96, Best Cost: 3836, Hard Conflicts: 0, Soft Conflicts: 3836, Time: 11.47s
Iter 97, Best Cost: 3826, Hard Conflicts: 0, Soft Conflicts: 3826, Time: 11.59s
Iter 98, Best Cost: 3826, Hard Conflicts: 0, Soft Conflicts: 3826, Time: 11.70s
Iter 99, Best Cost: 3826, Hard Conflicts: 0, Soft Conflicts: 3826, Time: 11.81s
Iter 100, Best Cost: 3826, Hard Conflicts: 0, Soft Conflicts: 3826, Time: 11.92s
Iter 101, Best Cost: 3826, Hard Conflicts: 0, Soft Conflicts: 3826, Time: 12.04s
Iter 102, Best Cost: 3826, Hard Conflicts: 0, Soft Conflicts: 3826, Time: 12.14s
Iter 103, Best Cost: 3808, Hard Conflicts: 0, Soft Conflicts: 3808, Time: 12.26s
Iter 104, Best Cost: 3808, Hard Conflicts: 0, Soft Conflicts: 3808, Time: 12.36s
Iter 105, Best Cost: 3796, Hard Conflicts: 0, Soft Conflicts: 3796, Time: 12.48s
Iter 106, Best Cost: 3796, Hard Conflicts: 0, Soft Conflicts: 3796, Time: 12.59s
Iter 107, Best Cost: 3796, Hard Conflicts: 0, Soft Conflicts: 3796, Time: 12.71s
Iter 108, Best Cost: 3796, Hard Conflicts: 0, Soft Conflicts: 3796, Time: 12.82s
Iter 109, Best Cost: 3796, Hard Conflicts: 0, Soft Conflicts: 3796, Time: 12.93s
Iter 110, Best Cost: 3789, Hard Conflicts: 0, Soft Conflicts: 3789, Time: 13.05s
Iter 111, Best Cost: 3789, Hard Conflicts: 0, Soft Conflicts: 3789, Time: 13.15s
Iter 112, Best Cost: 3789, Hard Conflicts: 0, Soft Conflicts: 3789, Time: 13.27s
Iter 113, Best Cost: 3756, Hard Conflicts: 0, Soft Conflicts: 3756, Time: 13.37s
Iter 114, Best Cost: 3756, Hard Conflicts: 0, Soft Conflicts: 3756, Time: 13.49s
Iter 115, Best Cost: 3732, Hard Conflicts: 0, Soft Conflicts: 3732, Time: 13.60s
Iter 116, Best Cost: 3732, Hard Conflicts: 0, Soft Conflicts: 3732, Time: 13.72s
Iter 117, Best Cost: 3732, Hard Conflicts: 0, Soft Conflicts: 3732, Time: 13.83s
Iter 118, Best Cost: 3732, Hard Conflicts: 0, Soft Conflicts: 3732, Time: 13.95s
Iter 119, Best Cost: 3732, Hard Conflicts: 0, Soft Conflicts: 3732, Time: 14.08s
Iter 120, Best Cost: 3732, Hard Conflicts: 0, Soft Conflicts: 3732, Time: 14.18s
Iter 121, Best Cost: 3732, Hard Conflicts: 0, Soft Conflicts: 3732, Time: 14.30s
Iter 122, Best Cost: 3732, Hard Conflicts: 0, Soft Conflicts: 3732, Time: 14.40s
Iter 123, Best Cost: 3732, Hard Conflicts: 0, Soft Conflicts: 3732, Time: 14.52s
Iter 124, Best Cost: 3690, Hard Conflicts: 0, Soft Conflicts: 3690, Time: 14.63s
Iter 125, Best Cost: 3690, Hard Conflicts: 0, Soft Conflicts: 3690, Time: 14.74s
Iter 126, Best Cost: 3690, Hard Conflicts: 0, Soft Conflicts: 3690, Time: 14.85s
Iter 127, Best Cost: 3690, Hard Conflicts: 0, Soft Conflicts: 3690, Time: 14.97s
Iter 128, Best Cost: 3678, Hard Conflicts: 0, Soft Conflicts: 3678, Time: 15.09s
Iter 129, Best Cost: 3678, Hard Conflicts: 0, Soft Conflicts: 3678, Time: 15.19s
