Iteration 1, Best Cost: 1420950, Hard Conflicts: 141, Soft Conflicts: 11091, Time: 0.06s
Iteration 2, Best Cost: 1179169, Hard Conflicts: 116, Soft Conflicts: 19285, Time: 0.12s
Iteration 3, Best Cost: 1178495, Hard Conflicts: 116, Soft Conflicts: 18611, Time: 0.19s
Iteration 4, Best Cost: 1178429, Hard Conflicts: 116, Soft Conflicts: 18545, Time: 0.25s
Iteration 5, Best Cost: 861396, Hard Conflicts: 85, Soft Conflicts: 11481, Time: 0.31s
Iteration 6, Best Cost: 752260, Hard Conflicts: 74, Soft Conflicts: 12334, Time: 0.39s
Iteration 7, Best Cost: 682452, Hard Conflicts: 67, Soft Conflicts: 12519, Time: 0.45s
Iteration 8, Best Cost: 682452, Hard Conflicts: 67, Soft Conflicts: 12519, Time: 0.50s
Iteration 9, Best Cost: 682452, Hard Conflicts: 67, Soft Conflicts: 12519, Time: 0.58s
Iteration 10, Best Cost: 464813, Hard Conflicts: 45, Soft Conflicts: 14858, Time: 0.64s
Iteration 11, Best Cost: 341904, Hard Conflicts: 33, Soft Conflicts: 11937, Time: 0.70s
Iteration 12, Best Cost: 341346, Hard Conflicts: 33, Soft Conflicts: 11379, Time: 0.78s
Iteration 13, Best Cost: 341346, Hard Conflicts: 33, Soft Conflicts: 11379, Time: 0.84s
Iteration 14, Best Cost: 341346, Hard Conflicts: 33, Soft Conflicts: 11379, Time: 0.91s
Iteration 15, Best Cost: 332122, Hard Conflicts: 32, Soft Conflicts: 12154, Time: 0.97s
Iteration 16, Best Cost: 222951, Hard Conflicts: 21, Soft Conflicts: 12972, Time: 1.03s
Iteration 17, Best Cost: 222047, Hard Conflicts: 21, Soft Conflicts: 12068, Time: 1.10s
Iteration 18, Best Cost: 62271, Hard Conflicts: 5, Soft Conflicts: 12276, Time: 1.16s
Iteration 19, Best Cost: 62271, Hard Conflicts: 5, Soft Conflicts: 12276, Time: 1.24s
Iteration 20, Best Cost: 62271, Hard Conflicts: 5, Soft Conflicts: 12276, Time: 1.29s
Iteration 21, Best Cost: 62271, Hard Conflicts: 5, Soft Conflicts: 12276, Time: 1.35s
Iteration 22, Best Cost: 60282, Hard Conflicts: 5, Soft Conflicts: 10287, Time: 1.43s
Iteration 23, Best Cost: 60282, Hard Conflicts: 5, Soft Conflicts: 10287, Time: 1.49s
Iteration 24, Best Cost: 60282, Hard Conflicts: 5, Soft Conflicts: 10287, Time: 1.55s
Iteration 25, Best Cost: 60233, Hard Conflicts: 5, Soft Conflicts: 10238, Time: 1.62s
Iteration 26, Best Cost: 60233, Hard Conflicts: 5, Soft Conflicts: 10238, Time: 1.68s
Iteration 27, Best Cost: 60233, Hard Conflicts: 5, Soft Conflicts: 10238, Time: 1.76s
Iteration 28, Best Cost: 60233, Hard Conflicts: 5, Soft Conflicts: 10238, Time: 1.82s
Iteration 29, Best Cost: 60233, Hard Conflicts: 5, Soft Conflicts: 10238, Time: 1.87s
Iteration 30, Best Cost: 59899, Hard Conflicts: 5, Soft Conflicts: 9904, Time: 1.94s
Iteration 31, Best Cost: 59899, Hard Conflicts: 5, Soft Conflicts: 9904, Time: 1.99s
Iteration 32, Best Cost: 59899, Hard Conflicts: 5, Soft Conflicts: 9904, Time: 2.05s
Iteration 33, Best Cost: 59899, Hard Conflicts: 5, Soft Conflicts: 9904, Time: 2.12s
Iteration 34, Best Cost: 59899, Hard Conflicts: 5, Soft Conflicts: 9904, Time: 2.18s
Iteration 35, Best Cost: 59899, Hard Conflicts: 5, Soft Conflicts: 9904, Time: 2.26s
Iteration 36, Best Cost: 59899, Hard Conflicts: 5, Soft Conflicts: 9904, Time: 2.32s
Iteration 37, Best Cost: 59899, Hard Conflicts: 5, Soft Conflicts: 9904, Time: 2.37s
Iteration 38, Best Cost: 59337, Hard Conflicts: 5, Soft Conflicts: 9342, Time: 2.44s
Iteration 39, Best Cost: 59337, Hard Conflicts: 5, Soft Conflicts: 9342, Time: 2.50s
Iteration 40, Best Cost: 9896, Hard Conflicts: 0, Soft Conflicts: 9896, Time: 2.57s
Iteration 41, Best Cost: 9896, Hard Conflicts: 0, Soft Conflicts: 9896, Time: 2.62s
Iteration 42, Best Cost: 9896, Hard Conflicts: 0, Soft Conflicts: 9896, Time: 2.68s
Iteration 43, Best Cost: 9896, Hard Conflicts: 0, Soft Conflicts: 9896, Time: 2.75s
Iteration 44, Best Cost: 9896, Hard Conflicts: 0, Soft Conflicts: 9896, Time: 2.80s
Iteration 45, Best Cost: 9896, Hard Conflicts: 0, Soft Conflicts: 9896, Time: 2.85s
Iteration 46, Best Cost: 9477, Hard Conflicts: 0, Soft Conflicts: 9477, Time: 2.92s
Iteration 47, Best Cost: 9477, Hard Conflicts: 0, Soft Conflicts: 9477, Time: 2.97s
Iteration 48, Best Cost: 9124, Hard Conflicts: 0, Soft Conflicts: 9124, Time: 3.04s
Iteration 49, Best Cost: 9124, Hard Conflicts: 0, Soft Conflicts: 9124, Time: 3.09s
Iteration 50, Best Cost: 9041, Hard Conflicts: 0, Soft Conflicts: 9041, Time: 3.14s
Iteration 51, Best Cost: 9041, Hard Conflicts: 0, Soft Conflicts: 9041, Time: 3.21s
Iteration 52, Best Cost: 9041, Hard Conflicts: 0, Soft Conflicts: 9041, Time: 3.26s
Iteration 53, Best Cost: 8753, Hard Conflicts: 0, Soft Conflicts: 8753, Time: 3.32s
Iteration 54, Best Cost: 8753, Hard Conflicts: 0, Soft Conflicts: 8753, Time: 3.39s
Iteration 55, Best Cost: 8753, Hard Conflicts: 0, Soft Conflicts: 8753, Time: 3.44s
Iteration 56, Best Cost: 8753, Hard Conflicts: 0, Soft Conflicts: 8753, Time: 3.49s
Iteration 57, Best Cost: 8753, Hard Conflicts: 0, Soft Conflicts: 8753, Time: 3.56s
Iteration 58, Best Cost: 8753, Hard Conflicts: 0, Soft Conflicts: 8753, Time: 3.61s
Iteration 59, Best Cost: 8289, Hard Conflicts: 0, Soft Conflicts: 8289, Time: 3.67s
Iteration 60, Best Cost: 8289, Hard Conflicts: 0, Soft Conflicts: 8289, Time: 3.73s
Iteration 61, Best Cost: 8289, Hard Conflicts: 0, Soft Conflicts: 8289, Time: 3.78s
Iteration 62, Best Cost: 8289, Hard Conflicts: 0, Soft Conflicts: 8289, Time: 3.86s
Iteration 63, Best Cost: 8289, Hard Conflicts: 0, Soft Conflicts: 8289, Time: 3.91s
Iteration 64, Best Cost: 8289, Hard Conflicts: 0, Soft Conflicts: 8289, Time: 3.97s
Iteration 65, Best Cost: 8289, Hard Conflicts: 0, Soft Conflicts: 8289, Time: 4.05s
Iteration 66, Best Cost: 8289, Hard Conflicts: 0, Soft Conflicts: 8289, Time: 4.10s
Iteration 67, Best Cost: 8289, Hard Conflicts: 0, Soft Conflicts: 8289, Time: 4.16s
Iteration 68, Best Cost: 8289, Hard Conflicts: 0, Soft Conflicts: 8289, Time: 4.22s
Iteration 69, Best Cost: 8289, Hard Conflicts: 0, Soft Conflicts: 8289, Time: 4.28s
Iteration 70, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 4.33s
Iteration 71, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 4.40s
Iteration 72, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 4.45s
Iteration 73, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 4.52s
Iteration 74, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 4.57s
Iteration 75, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 4.63s
Iteration 76, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 4.70s
Iteration 77, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 4.76s
Iteration 78, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 4.83s
Iteration 79, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 4.88s
Iteration 80, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 4.94s
Iteration 81, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 5.01s
Iteration 82, Best Cost: 8216, Hard Conflicts: 0, Soft Conflicts: 8216, Time: 5.06s
Iteration 83, Best Cost: 8159, Hard Conflicts: 0, Soft Conflicts: 8159, Time: 5.12s
Iteration 84, Best Cost: 8159, Hard Conflicts: 0, Soft Conflicts: 8159, Time: 5.19s
Iteration 85, Best Cost: 8159, Hard Conflicts: 0, Soft Conflicts: 8159, Time: 5.24s
Iteration 86, Best Cost: 8159, Hard Conflicts: 0, Soft Conflicts: 8159, Time: 5.29s
Iteration 87, Best Cost: 7421, Hard Conflicts: 0, Soft Conflicts: 7421, Time: 5.36s
Iteration 88, Best Cost: 7421, Hard Conflicts: 0, Soft Conflicts: 7421, Time: 5.41s
Iteration 89, Best Cost: 7421, Hard Conflicts: 0, Soft Conflicts: 7421, Time: 5.48s
Iteration 90, Best Cost: 7421, Hard Conflicts: 0, Soft Conflicts: 7421, Time: 5.53s
Iteration 91, Best Cost: 7421, Hard Conflicts: 0, Soft Conflicts: 7421, Time: 5.58s
Iteration 92, Best Cost: 7384, Hard Conflicts: 0, Soft Conflicts: 7384, Time: 5.65s
Iteration 93, Best Cost: 7384, Hard Conflicts: 0, Soft Conflicts: 7384, Time: 5.71s
Iteration 94, Best Cost: 7384, Hard Conflicts: 0, Soft Conflicts: 7384, Time: 5.76s
Iteration 95, Best Cost: 7384, Hard Conflicts: 0, Soft Conflicts: 7384, Time: 5.82s
