Iter=1, currentCost=1300471, Hard Conflicts: 129, Soft Conflicts: 10600, Best Cost: 1300471, Time: 0.00s
Iter=4, currentCost=1240363, Hard Conflicts: 123, Soft Conflicts: 10486, Best Cost: 1240363, Time: 0.01s
Iter=6, currentCost=1240351, Hard Conflicts: 123, Soft Conflicts: 10474, Best Cost: 1240351, Time: 0.01s
Iter=7, currentCost=1240393, Hard Conflicts: 123, Soft Conflicts: 10516, Best Cost: 1240351, Time: 0.01s
Iter=9, currentCost=1240628, Hard Conflicts: 123, Soft Conflicts: 10751, Best Cost: 1240351, Time: 0.02s
Iter=14, currentCost=1180532, Hard Conflicts: 117, Soft Conflicts: 10649, Best Cost: 1180532, Time: 0.02s
Iter=18, currentCost=1180454, Hard Conflicts: 117, Soft Conflicts: 10571, Best Cost: 1180454, Time: 0.03s
Iter=24, currentCost=1180384, Hard Conflicts: 117, Soft Conflicts: 10501, Best Cost: 1180384, Time: 0.04s
Iter=27, currentCost=1130294, Hard Conflicts: 112, Soft Conflicts: 10406, Best Cost: 1130294, Time: 0.06s
Iter=39, currentCost=1129909, Hard Conflicts: 112, Soft Conflicts: 10021, Best Cost: 1129909, Time: 0.07s
Iter=43, currentCost=1129866, Hard Conflicts: 112, Soft Conflicts: 9978, Best Cost: 1129866, Time: 0.08s
Iter=47, currentCost=1129781, Hard Conflicts: 112, Soft Conflicts: 9893, Best Cost: 1129781, Time: 0.09s
Iter=65, currentCost=1129786, Hard Conflicts: 112, Soft Conflicts: 9898, Best Cost: 1129781, Time: 0.11s
Iter=66, currentCost=1129885, Hard Conflicts: 112, Soft Conflicts: 9997, Best Cost: 1129781, Time: 0.11s
Iter=74, currentCost=1129777, Hard Conflicts: 112, Soft Conflicts: 9889, Best Cost: 1129777, Time: 0.12s
Iter=80, currentCost=1019981, Hard Conflicts: 101, Soft Conflicts: 10082, Best Cost: 1019981, Time: 0.13s
Iter=89, currentCost=909531, Hard Conflicts: 90, Soft Conflicts: 9621, Best Cost: 909531, Time: 0.15s
Iter=90, currentCost=909496, Hard Conflicts: 90, Soft Conflicts: 9586, Best Cost: 909496, Time: 0.16s
Iter=93, currentCost=909259, Hard Conflicts: 90, Soft Conflicts: 9349, Best Cost: 909259, Time: 0.16s
Iter=102, currentCost=909235, Hard Conflicts: 90, Soft Conflicts: 9325, Best Cost: 909235, Time: 0.17s
Iter=110, currentCost=909073, Hard Conflicts: 90, Soft Conflicts: 9163, Best Cost: 909073, Time: 0.18s
Iter=112, currentCost=909098, Hard Conflicts: 90, Soft Conflicts: 9188, Best Cost: 909073, Time: 0.18s
Iter=113, currentCost=909073, Hard Conflicts: 90, Soft Conflicts: 9163, Best Cost: 909073, Time: 0.19s
Iter=126, currentCost=909048, Hard Conflicts: 90, Soft Conflicts: 9138, Best Cost: 909048, Time: 0.20s
Iter=134, currentCost=908837, Hard Conflicts: 90, Soft Conflicts: 8927, Best Cost: 908837, Time: 0.21s
Iter=152, currentCost=908832, Hard Conflicts: 90, Soft Conflicts: 8922, Best Cost: 908832, Time: 0.25s
Iter=169, currentCost=908837, Hard Conflicts: 90, Soft Conflicts: 8927, Best Cost: 908832, Time: 0.27s
Iter=178, currentCost=688312, Hard Conflicts: 68, Soft Conflicts: 8380, Best Cost: 688312, Time: 0.28s
Iter=180, currentCost=688310, Hard Conflicts: 68, Soft Conflicts: 8378, Best Cost: 688310, Time: 0.28s
Iter=182, currentCost=688169, Hard Conflicts: 68, Soft Conflicts: 8237, Best Cost: 688169, Time: 0.29s
Iter=190, currentCost=688067, Hard Conflicts: 68, Soft Conflicts: 8135, Best Cost: 688067, Time: 0.30s
Iter=195, currentCost=687995, Hard Conflicts: 68, Soft Conflicts: 8063, Best Cost: 687995, Time: 0.31s
Iter=217, currentCost=678002, Hard Conflicts: 67, Soft Conflicts: 8069, Best Cost: 677996, Time: 0.34s
Iter=231, currentCost=677936, Hard Conflicts: 67, Soft Conflicts: 8003, Best Cost: 677936, Time: 0.36s
Iter=236, currentCost=568305, Hard Conflicts: 56, Soft Conflicts: 8361, Best Cost: 568305, Time: 0.37s
Iter=262, currentCost=458292, Hard Conflicts: 45, Soft Conflicts: 8337, Best Cost: 458292, Time: 0.41s
Iter=270, currentCost=458250, Hard Conflicts: 45, Soft Conflicts: 8295, Best Cost: 458250, Time: 0.42s
Iter=274, currentCost=458178, Hard Conflicts: 45, Soft Conflicts: 8223, Best Cost: 458178, Time: 0.43s
Iter=296, currentCost=458172, Hard Conflicts: 45, Soft Conflicts: 8217, Best Cost: 458172, Time: 0.45s
Iter=301, currentCost=458160, Hard Conflicts: 45, Soft Conflicts: 8205, Best Cost: 458160, Time: 0.46s
Iter=304, currentCost=458088, Hard Conflicts: 45, Soft Conflicts: 8133, Best Cost: 458088, Time: 0.46s
Iter=318, currentCost=458070, Hard Conflicts: 45, Soft Conflicts: 8115, Best Cost: 458070, Time: 0.50s
Iter=336, currentCost=458010, Hard Conflicts: 45, Soft Conflicts: 8055, Best Cost: 458010, Time: 0.52s
Iter=347, currentCost=457902, Hard Conflicts: 45, Soft Conflicts: 7947, Best Cost: 457902, Time: 0.53s
Iter=362, currentCost=457842, Hard Conflicts: 45, Soft Conflicts: 7887, Best Cost: 457842, Time: 0.55s
Iter=372, currentCost=457825, Hard Conflicts: 45, Soft Conflicts: 7870, Best Cost: 457825, Time: 0.56s
Iter=378, currentCost=457717, Hard Conflicts: 45, Soft Conflicts: 7762, Best Cost: 457717, Time: 0.57s
